ack_tps,committer_threads,context_switches,context_switches_per_sec,cpu_cores,flusher_threads,system,total_active_threads,wal_streams,worker_threads,workload
29632.833333333332,0.0,100090.0,25022.5,0.4510616666666667,0.0,P-WAL,1.0,1.0,1,YCSB-B
54428.333333333336,0.0,208458.66666666666,52114.666666666664,0.8638303333333334,0.0,P-WAL,2.0,2.0,2,YCSB-B
98112.58333333333,0.0,413758.0,103439.5,1.7538066666666667,0.0,P-WAL,4.0,4.0,4,YCSB-B
163213.58333333334,0.0,734900.6666666666,183725.16666666666,3.772494,0.0,P-WAL,8.0,8.0,8,YCSB-B
208443.83333333334,0.0,1073575.3333333333,268393.8333333333,8.708294333333333,0.0,P-WAL,16.0,16.0,16,YCSB-B
244122.08333333334,0.0,1448989.0,362247.25,17.915664000000003,0.0,P-WAL,32.0,32.0,32,YCSB-B
29646.583333333332,0.0,99887.66666666667,24971.916666666668,0.45388399999999995,0.0,Single WAL,1.0,1.0,1,YCSB-B
32594.333333333332,0.0,162061.33333333334,40515.333333333336,0.572399,0.0,Single WAL,2.0,1.0,2,YCSB-B
32385.166666666668,0.0,160970.0,40242.5,0.5732116666666667,0.0,Single WAL,4.0,1.0,4,YCSB-B
32377.5,0.0,161201.66666666666,40300.416666666664,0.599795,0.0,Single WAL,8.0,1.0,8,YCSB-B
29024.833333333332,0.0,145076.0,36269.0,0.7427433333333333,0.0,Single WAL,16.0,1.0,16,YCSB-B
29080.166666666668,0.0,145873.33333333334,36468.333333333336,1.0064533333333334,0.0,Single WAL,32.0,1.0,32,YCSB-B
110551.5,1.0,184644.0,46161.0,1.5700786666666666,1.0,TideWAL,3.0,1.0,1,YCSB-B
172700.91666666666,1.0,214741.0,53685.25,2.8729223333333334,1.0,TideWAL,4.0,1.0,2,YCSB-B
273648.0833333333,1.0,270767.3333333333,67691.83333333333,5.391389333333334,1.0,TideWAL,6.0,1.0,4,YCSB-B
388868.0,1.0,691645.0,172911.25,10.263159333333332,2.0,TideWAL,11.0,2.0,8,YCSB-B
413586.6666666667,1.0,1929472.6666666667,482368.1666666667,17.886199,4.0,TideWAL,21.0,4.0,16,YCSB-B
469655.4166666667,1.0,4043410.6666666665,1010852.6666666666,29.484334,7.0,TideWAL,40.0,7.0,32,YCSB-B
