workload_mode,workload,system,worker_threads,logger_num,committer_num,background_threads,total_active_threads,ack_tps,p99_us,pending,read_only_commits_per_tx,read_only_fast_path_per_tx,frontier_collect_ns_per_tx,frontier_publish_ns_per_tx,waitlist_registration_ns_per_tx,fdatasync_ns_per_tx,flusher_idle_wait_ns,flusher_idle_waits,committer_idle_wait_ns,committer_idle_waits
ycsb_a,YCSB-A,P-WAL,1,1.0,0.0,0.0,1.0,11579.333333333334,128.0,0.0,0.00068659247173351,0.0,0.0,0.0,0.0,87553.42028766667,0.0,0.0,0.0,0.0
ycsb_a,YCSB-A,P-WAL,2,2.0,0.0,0.0,2.0,19538.25,128.0,0.0,0.0009542947468883905,0.0,0.0,0.0,0.0,95413.81191966667,0.0,0.0,0.0,0.0
ycsb_a,YCSB-A,P-WAL,4,4.0,0.0,0.0,4.0,31932.25,128.0,0.0,0.0009480011282827624,0.0,0.0,0.0,0.0,109272.66081166668,0.0,0.0,0.0,0.0
ycsb_a,YCSB-A,P-WAL,8,8.0,0.0,0.0,8.0,49120.666666666664,256.0,0.0,0.0010686869546152813,0.0,0.0,0.0,0.0,133679.04765866665,0.0,0.0,0.0,0.0
ycsb_a,YCSB-A,P-WAL,16,16.0,0.0,0.0,16.0,60310.333333333336,256.0,0.0,0.0009606598172933974,0.0,0.0,0.0,0.0,207334.89477899997,0.0,0.0,0.0,0.0
ycsb_a,YCSB-A,P-WAL,32,32.0,0.0,0.0,32.0,69179.83333333333,512.0,0.0,0.0009659022618941068,0.0,0.0,0.0,0.0,348856.2382443333,0.0,0.0,0.0,0.0
ycsb_a,YCSB-A,Single WAL,1,0.0,0.0,0.0,1.0,11047.0,128.0,0.0,0.0009263712399760199,0.0,0.0,0.0,0.0,87355.88844633334,0.0,0.0,0.0,0.0
ycsb_a,YCSB-A,Single WAL,2,0.0,0.0,0.0,2.0,11504.166666666666,128.0,0.0,0.0010936605736461729,0.0,0.0,0.0,0.0,86953.876213,0.0,0.0,0.0,0.0
ycsb_a,YCSB-A,Single WAL,4,0.0,0.0,0.0,4.0,11540.333333333334,256.0,0.0,0.001017954415602677,0.0,0.0,0.0,0.0,86834.31585000001,0.0,0.0,0.0,0.0
ycsb_a,YCSB-A,Single WAL,8,0.0,0.0,0.0,8.0,11399.166666666666,512.0,0.0,0.0010306414961913646,0.0,0.0,0.0,0.0,87597.85016700001,0.0,0.0,0.0,0.0
ycsb_a,YCSB-A,Single WAL,16,0.0,0.0,0.0,16.0,10425.666666666666,2048.0,0.0,0.0009825950702593625,0.0,0.0,0.0,0.0,95008.01465733332,0.0,0.0,0.0,0.0
ycsb_a,YCSB-A,Single WAL,32,0.0,0.0,0.0,32.0,10544.083333333334,4096.0,0.0,0.001041819147206174,0.0,0.0,0.0,0.0,93347.09563366667,0.0,0.0,0.0,0.0
ycsb_a,YCSB-A,TideWAL,1,1.0,1.0,2.0,3.0,64808.5,256.0,12.0,0.0009515178979087408,6.433845141801731e-06,1397.4863913333331,1923.7594723333334,231.931522,10944.563254666667,1525464549.3333333,25146.0,4891916186.0,50130.0
ycsb_a,YCSB-A,TideWAL,2,1.0,1.0,2.0,4.0,91616.0,256.0,15.333333333333334,0.0010198892623933472,3.333208338020658e-06,2455.1682720000003,3260.8270243333336,544.387221,8513.999677333333,1030849328.0,24875.666666666668,4826887103.333333,49057.666666666664
ycsb_a,YCSB-A,TideWAL,4,1.0,1.0,2.0,6.0,121039.25,524288.0,65532.0,0.0009665165307736419,4.191659663165701e-06,3069.121456666667,3954.002027,2526.0336713333336,7916.500037333334,5518346.0,34324.666666666664,5400673370.333333,41741.0
ycsb_a,YCSB-A,TideWAL,8,2.0,1.0,3.0,11.0,195684.83333333334,262144.0,65525.333333333336,0.0009792320020284573,3.1559307505174936e-06,3979.9448410000005,5407.722402666667,8059.950917333333,9272.249810333335,8882573.666666666,52969.333333333336,4653533908.0,53549.0
ycsb_a,YCSB-A,TideWAL,16,4.0,1.0,5.0,21.0,276385.3333333333,8192.0,1154.6666666666667,0.0009694860415647537,1.503112738813106e-06,9492.675234333334,12725.158376666666,16071.629204000003,13178.646139666665,475988682.6666667,70250.66666666667,3681531722.6666665,44660.0
ycsb_a,YCSB-A,TideWAL,32,7.0,1.0,8.0,40.0,307995.9166666667,1024.0,119.66666666666667,0.0009766676375070292,2.4796391757949403e-06,27703.921693666663,32925.78067366667,27783.110807666668,19335.244570333336,4423396181.0,89667.33333333333,3181361892.6666665,37072.0
ycsb_b,YCSB-B,P-WAL,1,1.0,0.0,0.0,1.0,29414.0,128.0,0.0,0.5992639534726022,0.0,0.0,0.0,0.0,32372.19996166667,0.0,0.0,0.0,0.0
ycsb_b,YCSB-B,P-WAL,2,2.0,0.0,0.0,2.0,54395.916666666664,128.0,0.0,0.5991704514818319,0.0,0.0,0.0,0.0,33286.61216133333,0.0,0.0,0.0,0.0
ycsb_b,YCSB-B,P-WAL,4,4.0,0.0,0.0,4.0,97322.66666666667,128.0,0.0,0.59858194251338,0.0,0.0,0.0,0.0,35188.70382766667,0.0,0.0,0.0,0.0
ycsb_b,YCSB-B,P-WAL,8,8.0,0.0,0.0,8.0,158789.25,128.0,0.0,0.5989434852407755,0.0,0.0,0.0,0.0,42924.816627333326,0.0,0.0,0.0,0.0
ycsb_b,YCSB-B,P-WAL,16,16.0,0.0,0.0,16.0,208871.25,256.0,0.0,0.5987287151756693,0.0,0.0,0.0,0.0,61949.29868766666,0.0,0.0,0.0,0.0
ycsb_b,YCSB-B,P-WAL,32,32.0,0.0,0.0,32.0,244481.66666666666,256.0,0.0,0.5987806635303374,0.0,0.0,0.0,0.0,107251.005853,0.0,0.0,0.0,0.0
ycsb_b,YCSB-B,Single WAL,1,0.0,0.0,0.0,1.0,28190.0,128.0,0.0,0.5972023236523264,0.0,0.0,0.0,0.0,33774.799057,0.0,0.0,0.0,0.0
ycsb_b,YCSB-B,Single WAL,2,0.0,0.0,0.0,2.0,32901.333333333336,128.0,0.0,0.5977794997328162,0.0,0.0,0.0,0.0,32297.917830000002,0.0,0.0,0.0,0.0
ycsb_b,YCSB-B,Single WAL,4,0.0,0.0,0.0,4.0,32784.916666666664,256.0,0.0,0.598775679653795,0.0,0.0,0.0,0.0,32455.861484333334,0.0,0.0,0.0,0.0
ycsb_b,YCSB-B,Single WAL,8,0.0,0.0,0.0,8.0,32719.75,512.0,0.0,0.5983583458262841,0.0,0.0,0.0,0.0,32374.872150333336,0.0,0.0,0.0,0.0
ycsb_b,YCSB-B,Single WAL,16,0.0,0.0,0.0,16.0,29767.75,1024.0,0.0,0.5997662004033959,0.0,0.0,0.0,0.0,35172.88559833333,0.0,0.0,0.0,0.0
ycsb_b,YCSB-B,Single WAL,32,0.0,0.0,0.0,32.0,29433.5,2048.0,0.0,0.598445043033794,0.0,0.0,0.0,0.0,35507.52206533333,0.0,0.0,0.0,0.0
ycsb_b,YCSB-B,TideWAL,1,1.0,1.0,2.0,3.0,111291.0,256.0,8.0,0.5987037306791928,0.026852153199371967,931.1804296666666,1311.7940446666667,231.50985233333336,5946.871318333334,1934435221.6666667,28331.666666666668,4903755206.0,44203.0
ycsb_b,YCSB-B,TideWAL,2,1.0,1.0,2.0,4.0,173788.5,256.0,8.0,0.598957249608938,0.01700575782531408,1296.4366106666666,1904.5280593333334,484.527621,3951.5572430000007,1670076742.6666667,26089.0,4834571228.666667,44587.0
ycsb_b,YCSB-B,TideWAL,4,1.0,1.0,2.0,6.0,247518.75,512.0,14.0,0.5986359961214501,0.01215214003822304,2120.2045336666665,3016.278293,1178.3275866666665,3105.788192,1084142550.6666667,27380.333333333332,4742194664.666667,45184.666666666664
ycsb_b,YCSB-B,TideWAL,8,2.0,1.0,3.0,11.0,367496.5833333333,256.0,22.333333333333332,0.5986266525766802,0.008169336933416215,3101.9886593333335,4365.808600666666,2683.309693333333,3659.6294743333333,2852322932.6666665,48716.333333333336,4533697873.666667,49259.0
ycsb_b,YCSB-B,TideWAL,16,4.0,1.0,5.0,21.0,406109.25,256.0,40.0,0.598993089098337,0.0073255212471549066,6279.911658666667,7796.4687300000005,10159.968580333334,6694.362436666666,6137774563.666667,83221.33333333333,3822068614.3333335,51963.333333333336
ycsb_b,YCSB-B,TideWAL,32,7.0,1.0,8.0,40.0,456446.4166666667,512.0,41.333333333333336,0.5986917687030637,0.006576287765964025,14181.367709,14291.314764333336,27666.774899,10669.406216000001,11116311355.333334,135473.66666666666,1987380694.0,34238.666666666664
ycsb_c,YCSB-C,P-WAL,1,1.0,0.0,0.0,1.0,211050.16666666666,4.729798439639495,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ycsb_c,YCSB-C,P-WAL,2,2.0,0.0,0.0,2.0,346511.0833333333,5.774984930898696,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ycsb_c,YCSB-C,P-WAL,4,4.0,0.0,0.0,4.0,563549.25,6.895116232267162,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ycsb_c,YCSB-C,P-WAL,8,8.0,0.0,0.0,8.0,658361.5,12.20728736908161,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
