workload_mode,workload,system,thread_num,ack_tps,p99_us,pending,frontier_collect_ns_per_tx,frontier_publish_ns_per_tx,fdatasync_ns_per_tx,read_frontier_updates_per_tx,write_frontier_updates_per_tx
ycsb_a,YCSB-A,P-WAL,1,11451.083333333334,128.0,0.0,0.0,0.0,85546.31529766666,0.0,0.0
ycsb_a,YCSB-A,P-WAL,2,18996.25,128.0,0.0,0.0,0.0,96903.35904366667,0.0,0.0
ycsb_a,YCSB-A,P-WAL,4,31832.25,128.0,0.0,0.0,0.0,107118.29007333332,0.0,0.0
ycsb_a,YCSB-A,P-WAL,8,48433.666666666664,256.0,0.0,0.0,0.0,129921.55504666666,0.0,0.0
ycsb_a,YCSB-A,P-WAL,16,59751.083333333336,256.0,0.0,0.0,0.0,208459.23159966667,0.0,0.0
ycsb_a,YCSB-A,P-WAL,32,72196.91666666667,512.0,0.0,0.0,0.0,335013.63178866665,0.0,0.0
ycsb_a,YCSB-A,Single WAL,1,11105.0,90.67210699308625,0.0,0.0,0.0,85791.928649,0.0,0.0
ycsb_a,YCSB-A,Single WAL,2,10846.5,183.43154564006144,0.0,0.0,0.0,88318.76551699999,0.0,0.0
ycsb_a,YCSB-A,Single WAL,4,10804.916666666666,371.8249633984802,0.0,0.0,0.0,88676.17118,0.0,0.0
ycsb_a,YCSB-A,Single WAL,8,10410.0,774.4808558013457,0.0,0.0,0.0,92472.025583,0.0,0.0
ycsb_a,YCSB-A,Single WAL,16,10189.333333333334,1567.666870789957,0.0,0.0,0.0,93452.85125466665,0.0,0.0
ycsb_a,YCSB-A,Single WAL,32,10230.666666666666,3126.832128200117,0.0,0.0,0.0,92670.34571366665,0.0,0.0
ycsb_a,YCSB-A,TideWAL,1,62881.25,256.0,12.666666666666666,1411.4179300000003,2059.845522333333,10760.385024000001,4.990359333333333,5.000187333333333
ycsb_a,YCSB-A,TideWAL,2,94500.25,256.0,21.666666666666668,2152.394148,3106.4267773333336,13481.08157,4.9900036666666665,4.999639000000001
ycsb_a,YCSB-A,TideWAL,4,149290.91666666666,512.0,44.666666666666664,3319.558273,4555.473581666666,19633.249668333334,4.992657,4.996877333333334
ycsb_a,YCSB-A,TideWAL,8,222984.25,8192.0,79.33333333333333,4834.198385333334,6831.943029999999,13468.188401,4.988948,5.000222666666667
ycsb_a,YCSB-A,TideWAL,16,260207.75,32768.0,2045.6666666666667,9005.334549333333,12518.173680333333,12854.783170666668,4.988988333333333,5.0008186666666665
ycsb_a,YCSB-A,TideWAL,32,260662.83333333334,32768.0,7240.333333333333,15346.134116333333,19996.099275666664,12843.922951666667,4.9901919999999995,4.999414333333333
ycsb_c,YCSB-C,P-WAL,1,13238.75,64.0,0.0,0.0,0.0,79129.258838,0.0,0.0
ycsb_c,YCSB-C,P-WAL,2,23470.833333333332,128.0,0.0,0.0,0.0,83618.95280566666,0.0,0.0
ycsb_c,YCSB-C,P-WAL,4,42386.333333333336,128.0,0.0,0.0,0.0,93086.33400799999,0.0,0.0
ycsb_c,YCSB-C,P-WAL,8,74515.0,128.0,0.0,0.0,0.0,102966.68774299999,0.0,0.0
